asset_id,asset_type,material,age,climate,traffic_load,corrosion_exposure,condition_rating,maintenance_cost,loan_amount,insurance_risk,failure_probability,remaining_life
ASSET-0000,Tunnel,Bronze,18,Tropical,2.6791305299743224,0.18651851039985423,0.8225439835826169,354217.20115368353,18156137.68701373,0.9053506419560637,0.16433227268495798,44.086960768525714
ASSET-0001,Pipeline,Brass,44,Arid,9.0330309864098,0.040775141554763916,0.7547430293330502,186150.66409768004,16487267.224437518,0.19579113478929644,0.3362592280385192,15.061812733375369
ASSET-0002,Power Line,Aluminum,34,Subtropical,5.854080177240856,0.5908929431882418,0.8944563873459246,153860.00368960176,25774046.918294936,0.06936130087516545,0.37618726471884,48.345014274827506
ASSET-0003,Tunnel,Titanium Alloy,74,Coastal,8.266961396476564,0.6775643618422824,0.7603290246102403,406586.9661844717,55373439.80590592,0.10077800137742665,0.39578952186292427,5.546951361041735
ASSET-0004,Building,Nickel,62,Coastal,9.06482169931144,0.016587828927856152,0.6978160223348301,406955.5633927986,71744996.34730618,0.018221825651549728,0.39480907139727694,48.64454720184376
ASSET-0005,Dam,Titanium,14,Arctic,3.8620312747467747,0.512093058299281,0.3655723374796647,434865.43610425084,66359540.2950554,0.0944429607559284,0.045603051524345184,6.9421960377759255
ASSET-0006,Power Line,Stainless Steel 304,48,Coastal,1.9904673207490908,0.22649577519793795,0.5574010621416035,457487.8707526709,28713455.79764834,0.6830067734163568,0.24721015235129074,45.1014401164132
ASSET-0007,Power Line,Aluminum,15,Temperate,3.051416462877475,0.6451727904094499,0.48564165737720777,260557.77544185953,95531662.78565621,0.07118864846022899,0.028779380008322142,28.746549908883495
ASSET-0008,Tunnel,Tungsten,72,Tropical,4.843970097636307,0.17436642900499144,0.4707927503653585,255742.9843967278,74051794.75288108,0.3189756302937613,0.27476444116186777,49.68341582536851
ASSET-0009,Highway,Aluminum,78,Coastal,8.362132893302437,0.690937738102466,0.9811073883267118,401164.6376937198,55881051.19862867,0.8448753109694546,0.2207652506866885,8.320845413092949
ASSET-0010,Building,Nickel,62,Coastal,8.74657524930709,0.3867353463005374,0.5751684072667322,328482.3260811049,61560353.87720087,0.023271935735825866,0.4438520913791499,29.923442798059437
ASSET-0011,Tunnel,Tungsten,40,Subtropical,1.0625691747807164,0.9367299887367345,0.9244325886239793,353963.76985627465,42540406.1803512,0.8144684825889358,0.17545750627603934,48.61861410285945
ASSET-0012,Building,Stainless Steel 304,53,Subtropical,5.596725723198092,0.13752094414599325,0.741797038198084,399938.4080236895,25525367.960614588,0.28185477477339993,0.05853350821380293,28.539402987656697
ASSET-0013,Building,Nickel,24,Cold,4.7566990283390105,0.3410663510502585,0.8563679124791539,446102.6174906075,36241295.1864749,0.11816482762165625,0.07149584102641793,33.32293871608681
ASSET-0014,Dam,Copper,26,Arid,2.9989702942365724,0.11347352124058907,0.6518459651736345,175617.62685725256,76026764.93597254,0.6967371653641506,0.3807553158587361,36.308691004307775
ASSET-0015,Power Line,Titanium,60,Temperate,2.0787883060031453,0.9246936182785628,0.7038327192384514,194035.64679357255,2424955.3743458306,0.628942846779884,0.30910903165813053,25.454347914549796
ASSET-0016,Pipeline,Stainless Steel 304,41,Coastal,4.038536542632651,0.877339353380981,0.6447623856732048,56051.15052202581,12491191.410184707,0.877472013527053,0.05056133806139512,33.24011360378286
ASSET-0017,Dam,Titanium Alloy,29,Industrial,9.486187335212673,0.2579416277151556,0.4366700914586311,293357.26908812526,5554261.5601535225,0.7350710438038858,0.04205340305749872,31.29414403653951
ASSET-0018,Dam,Brass,15,Coastal,3.908826388186797,0.659984046034179,0.8057164806830537,27611.714160403622,5032151.4295780435,0.8034809303848486,0.35048456572956,45.552110472094505
ASSET-0019,Building,Copper,45,Tropical,5.669115595690295,0.8172222002012158,0.496540653708599,238143.02888490548,85690597.81708972,0.2820345725713065,0.036381503182096764,7.045087115365604
ASSET-0020,Railway,Stainless Steel 316,65,Cold,7.3271706300566,0.5552008115994623,0.31702117650201767,275895.87100671255,70662128.07862234,0.17743954377972282,0.4109300296451781,17.643343531650366
ASSET-0021,Power Line,Stainless Steel 304,71,Arid,4.272666421413646,0.5296505783560065,0.7518306071350174,150405.21354285936,47943209.079645194,0.7506147516408583,0.3531211135782481,47.76851678344514
ASSET-0022,Highway,Stainless Steel 316,9,Industrial,9.746038744488645,0.24185229090045168,0.42397747558493426,299508.29767881526,10685581.904449146,0.806834739267264,0.04067439032094988,45.06187027509124
ASSET-0023,Dam,Tungsten,1,Cold,9.662025654479,0.09310276780589921,0.95832100904704,24945.12247013422,49669971.6365664,0.9905051420006733,0.04241885704259596,25.504553875357082
ASSET-0024,Pipeline,Copper,8,Arctic,3.2660406624282774,0.8972157579533268,0.9677500039018112,28300.612487115064,47873705.307276,0.4126176769114265,0.4933197892505877,32.90596690106915
ASSET-0025,Railway,Titanium,63,Arid,5.475236553031469,0.9004180571633305,0.9404050731543139,413074.27472323255,18146985.121091504,0.37201808579278317,0.18713539787806016,17.48215323415097
ASSET-0026,Railway,Titanium Alloy,11,Coastal,3.707904788350927,0.6331014572732679,0.559111090178811,186493.41429151883,43951313.274559334,0.7764129607419968,0.18532107353344546,13.465452187569259
ASSET-0027,Highway,Bronze,8,Coastal,3.5635644493972087,0.3390297910487007,0.3108196315702072,72259.65119942353,40451968.70533997,0.34080354025301784,0.4063997836287513,25.8664282222992
ASSET-0028,Dam,Titanium Alloy,35,Arid,1.3319825261907952,0.3492095746126609,0.9498229938114078,265899.19742685417,61969159.70716943,0.9307573256035647,0.47362428869192935,20.900850261172376
ASSET-0029,Pipeline,Nickel,35,Coastal,6.486079005819072,0.7259556788702394,0.5997289038221201,387296.8410183193,63874271.43589674,0.8584127518430118,0.49300053191143545,31.264525033289242
ASSET-0030,Power Line,Titanium Alloy,33,Temperate,5.524111209059753,0.8971102599525771,0.9766583733305687,115752.30347345315,5485096.967432408,0.42899402737501835,0.3766890926294708,8.498058663424317
ASSET-0031,Bridge,Inconel,5,Arid,1.463308761249904,0.8870864242651173,0.9745339839624769,315216.3331513101,38086648.84802065,0.7508710677914974,0.18812979276545788,48.847766344977494
ASSET-0032,Pipeline,Steel (Carbon),41,Cold,3.507818178129503,0.7798755458576239,0.8971066188271519,51820.25784694632,62960131.6557094,0.7545428740846823,0.04175035834933438,49.37948350158213
ASSET-0033,Highway,Bronze,28,Arid,9.174392973699883,0.6420316461542878,0.50611422444871,35324.04337261777,50810489.59942868,0.10312386883593261,0.3885734579637184,36.417277130888536
ASSET-0034,Railway,Aluminum,7,Industrial,3.1560570160027517,0.08413996499504883,0.5695684100213476,270363.7694683925,85792494.2776439,0.9025529066795667,0.2792021248679025,29.12433648548542
ASSET-0035,Power Line,Brass,73,Coastal,2.304053848821008,0.16162871409461377,0.8957956700617997,274911.2095889522,66210669.53027555,0.5052523724478571,0.21211100462348814,18.92874273288475
ASSET-0036,Pipeline,Iron,72,Temperate,5.405074842498067,0.8985541885270792,0.5218454036093944,322340.6517341212,17130508.281061538,0.8264574661077416,0.453177192547368,41.62077588681269
ASSET-0037,Bridge,Titanium,12,Temperate,9.870854086995406,0.6064290596595899,0.4186449226802647,365784.75352410413,7986305.992642554,0.32004960103061175,0.05559874115307567,35.812902764924566
ASSET-0038,Bridge,Copper,34,Arctic,3.178497443603504,0.009197051616629648,0.6897608837208451,488167.518936642,64599508.542425245,0.8955232284962005,0.24631255214542958,12.31776227052011
ASSET-0039,Building,Steel (Carbon),33,Cold,7.049219926652907,0.1014715428660321,0.9553083419125465,262987.1706675857,3624619.7436205596,0.3892016787341631,0.005676822383709534,45.99172330222291
ASSET-0040,Building,Titanium,48,Subtropical,7.854576537958458,0.6635017691080558,0.7872208576724811,168248.67174121054,58991782.54607286,0.01083765148029836,0.23433032099706314,42.0141759315426
ASSET-0041,Tunnel,Copper,23,Subtropical,3.1387378959315972,0.005061583846218687,0.6990428190625555,399641.2354366648,94082793.9010708,0.9053819764192637,0.028151637840918675,47.740996098136584
ASSET-0042,Highway,Brass,62,Arid,7.553947137506736,0.16080805141749865,0.368023545639538,142707.80311841637,57971943.60971202,0.09128667678613356,0.05940895813403596,37.6573778774762
ASSET-0043,Dam,Silicon,37,Arctic,4.3100481944732785,0.5487337893665861,0.7305050586894188,225095.9961457617,39428822.69444567,0.31931363759041487,0.05876312338855244,32.60368381711054
ASSET-0044,Pipeline,Silicon,44,Tropical,6.690752475342215,0.6918951976926933,0.9930376950729842,48443.62685771032,64685533.625792965,0.9500619670508049,0.3246051510580318,23.82093663307785
ASSET-0045,Pipeline,Stainless Steel 316,35,Arid,6.7017673968480524,0.6519612595026005,0.3980588106655668,22421.86427357418,46367036.15866014,0.9506071469375561,0.37302243963271164,46.972781750930594
ASSET-0046,Dam,Titanium,65,Arctic,5.821972156672826,0.22426930946055978,0.6628307566546157,481697.7231921833,55016062.14227756,0.5734378881232861,0.2916843825485798,43.97287502751838
ASSET-0047,Tunnel,Silicon,47,Cold,1.8126079304896747,0.7121792213475359,0.9141611503495688,419630.25905098085,94205016.068876,0.6318372121697993,0.48108627423727096,7.034840154778523
ASSET-0048,Railway,Inconel,78,Cold,8.51772246030314,0.23724908749680007,0.818538032427943,351027.36098591203,39224161.14227665,0.44844552197831977,0.18743528976185203,6.18651385237634
ASSET-0049,Railway,Bronze,3,Cold,3.8870205847456223,0.3253996981592677,0.7879110186966876,210386.94276299223,96157865.81856751,0.29321077169806453,0.14285604314093037,21.940851509512232
